date,open,high,low,close,volume
2016-01-04,99.917,100.747,98.6964,99.5162,6853471
2016-01-05,99.6423,100.3977,98.135,98.879,5666402
2016-01-06,99.4168,100.3086,99.1704,100.06,5880499
2016-01-07,100.2365,100.5532,99.4791,99.7934,5406120
2016-01-08,99.1821,99.9645,97.2757,98.043,13284187
2016-01-11,98.1973,98.8245,95.9011,96.5136,5115240
2016-01-12,96.9267,97.6769,94.5581,95.29,4045370
2016-01-13,95.2168,97.3704,93.8251,95.9472,9438971
2016-01-14,96.2787,96.664,95.752,96.1352,6297322
2016-01-15,95.9056,97.7849,95.1926,97.0579,15517001
2016-01-18,96.5596,96.8322,96.2117,96.4833,5561926
2016-01-19,96.5305,98.6655,94.6016,96.6939,9629395
2016-01-20,96.1072,97.6173,96.0254,97.5342,10583600
2016-01-21,97.4533,98.6451,95.942,97.1154,5572771
2016-01-22,97.5493,98.334,96.9507,97.7305,5100091
2016-01-25,97.0859,97.1199,96.8025,96.8364,9234748
2016-01-26,96.4081,96.9061,95.8537,96.3488,8639835
2016-01-27,96.0049,96.3226,95.5227,95.8388,3904706
2016-01-28,95.8178,96.4304,93.6633,94.262,4371265
2016-01-29,94.1427,95.5397,93.5111,94.8988,2488934
2016-02-01,95.3599,96.1468,93.5102,94.2819,8710955
2016-02-02,94.5941,95.536,93.3669,94.2966,6182334
2016-02-03,94.4586,96.1265,93.2783,94.9254,6433808
2016-02-04,94.9733,96.9565,93.5593,95.513,3489816
2016-02-05,95.6433,96.5042,95.5363,96.3963,4424626
2016-02-08,96.1088,96.5126,95.8604,96.2632,5670306
2016-02-09,96.5495,97.6402,94.6295,95.6985,5246160
2016-02-10,95.3305,96.1597,94.767,95.5913,7196258
2016-02-11,95.8683,96.6547,92.6206,93.3803,8669525
2016-02-12,93.7649,94.5742,90.7414,91.5247,17018003
2016-02-15,91.5916,91.967,89.4939,89.8607,6810189
2016-02-16,89.8059,89.9384,88.4953,88.6259,10725111
